Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
cc8_status,364.087,0.000,0.000,0.000
cc8_cu0,364.087,0.000,0.000,0.000
cc8_cu1,364.087,0.000,0.000,0.000
cc8_ctrl,364.087,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
cc8_cu0,unpack_cu8_nk_inputs_U0,364.087,0.000,0.000,0.000
cc8_cu0,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_113_7_fu_221,364.087,0.000,0.000,0.000
cc8_cu0,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_97_6_fu_230,364.087,0.000,0.000,0.000
cc8_cu0,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_75_4_fu_243,364.087,0.000,0.000,0.000
cc8_cu0,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_84_5_fu_252,364.087,0.000,0.000,0.000
cc8_cu0,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_44_2_VITIS_LOOP_48_3_fu_261,364.087,0.000,0.000,0.000
cc8_cu0,compute_core_8x64_unified_U0,364.087,0.000,0.000,0.000
cc8_cu0,compute_core_8x64_unified_U0/grp_run_cu8_mm_task_fu_165,364.087,0.000,0.000,0.000
cc8_cu0,compute_core_8x64_unified_U0/grp_run_cu8_vector_task_fu_196,364.087,0.000,0.000,0.000
cc8_cu0,pack_cu8_nk_results_U0,364.087,0.000,0.000,0.000
cc8_cu0,pack_cu8_nk_results_U0/grp_pack_cu8_nk_results_Pipeline_VITIS_LOOP_145_2_VITIS_LOOP_149_3_fu_99,364.087,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0,364.087,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_113_7_fu_221,364.087,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_97_6_fu_230,364.087,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_75_4_fu_243,364.087,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_84_5_fu_252,364.087,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_44_2_VITIS_LOOP_48_3_fu_261,364.087,0.000,0.000,0.000
cc8_cu1,compute_core_8x64_unified_U0,364.087,0.000,0.000,0.000
cc8_cu1,compute_core_8x64_unified_U0/grp_run_cu8_mm_task_fu_165,364.087,0.000,0.000,0.000
cc8_cu1,compute_core_8x64_unified_U0/grp_run_cu8_vector_task_fu_196,364.087,0.000,0.000,0.000
cc8_cu1,pack_cu8_nk_results_U0,364.087,0.000,0.000,0.000
cc8_cu1,pack_cu8_nk_results_U0/grp_pack_cu8_nk_results_Pipeline_VITIS_LOOP_145_2_VITIS_LOOP_149_3_fu_99,364.087,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0,364.087,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_load_cc8_feature_gbuf_cc8_feature_buffer_t_4u_s_fu_1050,364.087,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_load_cc8_feature_gbuf_cc8_feature_buffer_t_8u_s_fu_1069,364.087,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_run_cc8_vector_gbuf_task_cc8_feature_buffer_t_4u_cc8_feature_buffer_t_8u_cc8_feature_buffer_t_4u_s_fu_1080,364.087,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_store_cc8_gbuf_to_hbm_cc8_feature_buffer_t_4u_s_fu_1140,364.087,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_clear_cc8_gbuf_cc8_feature_buffer_t_8u_s_fu_1158,364.087,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_load_cc8_resident_query_from_prefill_block_fu_1171,364.087,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_extract_cc8_current_kv_from_gbuf_cc8_feature_buffer_t_8u_s_fu_1200,364.087,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_apply_cc8_rope_from_aux_fu_1213,364.087,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_run_cc8_resident_decode_attention_cc8_feature_buffer_t_8u_s_fu_1234,364.087,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_clear_cc8_gbuf_cc8_feature_buffer_t_4u_s_fu_1310,364.087,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_run_cc8_projection_waves_banked_fu_1323,364.087,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_run_cc8_vector_gbuf_task_inplace_binary_cc8_feature_buffer_t_8u_cc8_feature_buffer_t_8u_s_fu_1445,364.087,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_extract_cc8_prefill_query_groups_from_gbuf_cc8_feature_buffer_t_8u_s_fu_1482,364.087,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_run_cc8_vector_gbuf_task_inplace_binary_cc8_feature_buffer_t_4u_cc8_feature_buffer_t_4u_s_fu_1511,364.087,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_extract_cc8_resident_k_from_gbuf_cc8_feature_buffer_t_8u_s_fu_1548,364.087,0.000,0.000,0.000
cc8_ctrl,pack_cc8_nk_core_inputs_U0,364.087,0.000,0.000,0.000
cc8_ctrl,pack_cc8_nk_core_inputs_U0/grp_pack_cc8_nk_core_inputs_Pipeline_VITIS_LOOP_143_7_fu_224,364.087,0.000,0.000,0.000
cc8_ctrl,pack_cc8_nk_core_inputs_U0/grp_pack_cc8_nk_core_inputs_Pipeline_VITIS_LOOP_127_6_fu_233,364.087,0.000,0.000,0.000
cc8_ctrl,pack_cc8_nk_core_inputs_U0/grp_pack_cc8_nk_core_inputs_Pipeline_VITIS_LOOP_105_4_fu_246,364.087,0.000,0.000,0.000
cc8_ctrl,pack_cc8_nk_core_inputs_U0/grp_pack_cc8_nk_core_inputs_Pipeline_VITIS_LOOP_114_5_fu_255,364.087,0.000,0.000,0.000
cc8_ctrl,pack_cc8_nk_core_inputs_U0/grp_pack_cc8_nk_core_inputs_Pipeline_VITIS_LOOP_74_2_VITIS_LOOP_78_3_fu_264,364.087,0.000,0.000,0.000
cc8_ctrl,pack_cc8_nk_core_inputs_2_U0,364.087,0.000,0.000,0.000
cc8_ctrl,pack_cc8_nk_core_inputs_2_U0/grp_pack_cc8_nk_core_inputs_2_Pipeline_VITIS_LOOP_143_7_fu_224,364.087,0.000,0.000,0.000
cc8_ctrl,pack_cc8_nk_core_inputs_2_U0/grp_pack_cc8_nk_core_inputs_2_Pipeline_VITIS_LOOP_127_6_fu_233,364.087,0.000,0.000,0.000
cc8_ctrl,pack_cc8_nk_core_inputs_2_U0/grp_pack_cc8_nk_core_inputs_2_Pipeline_VITIS_LOOP_105_4_fu_246,364.087,0.000,0.000,0.000
cc8_ctrl,pack_cc8_nk_core_inputs_2_U0/grp_pack_cc8_nk_core_inputs_2_Pipeline_VITIS_LOOP_114_5_fu_255,364.087,0.000,0.000,0.000
cc8_ctrl,pack_cc8_nk_core_inputs_2_U0/grp_pack_cc8_nk_core_inputs_2_Pipeline_VITIS_LOOP_74_2_VITIS_LOOP_78_3_fu_264,364.087,0.000,0.000,0.000
cc8_ctrl,pack_cc8_nk_status_U0,364.087,0.000,0.000,0.000
cc8_ctrl,unpack_cc8_nk_core_results_U0,364.087,0.000,0.000,0.000
cc8_ctrl,unpack_cc8_nk_core_results_U0/grp_unpack_cc8_nk_core_results_Pipeline_VITIS_LOOP_175_2_VITIS_LOOP_179_3_fu_99,364.087,0.000,0.000,0.000
cc8_ctrl,unpack_cc8_nk_core_results_3_U0,364.087,0.000,0.000,0.000
cc8_ctrl,unpack_cc8_nk_core_results_3_U0/grp_unpack_cc8_nk_core_results_3_Pipeline_VITIS_LOOP_175_2_VITIS_LOOP_179_3_fu_99,364.087,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
cc8_status,m_axi_status,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_data0,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_data1,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_data2,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_data3,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_w0,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_w1,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_w2,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_w3,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_w4,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_w5,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_w6,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_w7,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_w8,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_w9,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_w10,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_w11,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_w12,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_w13,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_w14,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_w15,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_kvk,0.000,0.000,0.000,0.000
cc8_ctrl,m_axi_kvv,0.000,0.000,0.000,0.000

