Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
cc8_status,95.809,0.000,0.000,0.000
cc8_cu0,95.809,0.000,0.000,0.000
cc8_cu1,95.809,0.000,0.000,0.000
cc8_ctrl,95.809,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
cc8_cu0,unpack_cu8_nk_inputs_U0,95.809,0.000,0.000,0.000
cc8_cu0,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_115_7_fu_234,95.809,0.000,0.000,0.000
cc8_cu0,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_99_6_fu_243,95.809,0.000,0.000,0.000
cc8_cu0,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_77_4_fu_256,95.809,0.000,0.000,0.000
cc8_cu0,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_86_5_fu_265,95.809,0.000,0.000,0.000
cc8_cu0,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_48_3_fu_274,95.809,0.000,0.000,0.000
cc8_cu0,compute_core_8x64_unified_U0,95.809,0.000,0.000,0.000
cc8_cu0,compute_core_8x64_unified_U0/grp_run_cu8_mm_task_fu_165,95.809,0.000,0.000,0.000
cc8_cu0,compute_core_8x64_unified_U0/grp_run_cu8_vector_task_fu_196,95.809,0.000,0.000,0.000
cc8_cu0,pack_cu8_nk_results_U0,95.809,0.000,0.000,0.000
cc8_cu0,pack_cu8_nk_results_U0/grp_pack_cu8_nk_results_Pipeline_VITIS_LOOP_147_2_VITIS_LOOP_151_3_fu_99,95.809,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0,95.809,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_115_7_fu_234,95.809,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_99_6_fu_243,95.809,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_77_4_fu_256,95.809,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_86_5_fu_265,95.809,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_48_3_fu_274,95.809,0.000,0.000,0.000
cc8_cu1,compute_core_8x64_unified_U0,95.809,0.000,0.000,0.000
cc8_cu1,compute_core_8x64_unified_U0/grp_run_cu8_mm_task_fu_165,95.809,0.000,0.000,0.000
cc8_cu1,compute_core_8x64_unified_U0/grp_run_cu8_vector_task_fu_196,95.809,0.000,0.000,0.000
cc8_cu1,pack_cu8_nk_results_U0,95.809,0.000,0.000,0.000
cc8_cu1,pack_cu8_nk_results_U0/grp_pack_cu8_nk_results_Pipeline_VITIS_LOOP_147_2_VITIS_LOOP_151_3_fu_99,95.809,0.000,0.000,0.000
cc8_ctrl,declare_cc8_nk_idle_vector_ports_U0,95.809,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0,95.809,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_load_cc8_feature_gbuf_cc8_feature_buffer_t_4u_s_fu_795,95.809,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_load_cc8_feature_gbuf_cc8_feature_buffer_t_8u_s_fu_803,95.809,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_run_cc8_vector_gbuf_task_cc8_feature_buffer_t_4u_cc8_feature_buffer_t_8u_cc8_feature_buffer_t_4u_s_fu_813,95.809,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_clear_cc8_gbuf_cc8_feature_buffer_t_8u_s_fu_839,95.809,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_apply_cc8_rope_from_aux_fu_852,95.809,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_clear_cc8_gbuf_cc8_feature_buffer_t_8u_s_fu_846,95.809,0.000,0.000,0.000
