Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
cc8_cu0,5953.465,0.000,0.000,0.000
cc8_cu1,5953.465,0.000,0.000,0.000
cc8_status,5953.465,0.000,0.000,0.000
cc8_ctrl,5953.465,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
cc8_cu0,unpack_cu8_nk_inputs_U0,5953.465,0.000,0.000,0.000
cc8_cu0,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_113_7_fu_221,5953.465,0.000,0.000,0.000
cc8_cu0,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_97_6_fu_230,5953.465,0.000,0.000,0.000
cc8_cu0,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_75_4_fu_243,5953.465,0.000,0.000,0.000
cc8_cu0,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_84_5_fu_252,5953.465,0.000,0.000,0.000
cc8_cu0,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_44_2_VITIS_LOOP_48_3_fu_261,5953.465,0.000,0.000,0.000
cc8_cu0,compute_core_8x64_unified_U0,5953.465,0.000,0.000,0.000
cc8_cu0,compute_core_8x64_unified_U0/grp_run_cu8_mm_task_fu_165,5953.465,0.000,0.000,0.000
cc8_cu0,compute_core_8x64_unified_U0/grp_run_cu8_vector_task_fu_196,5953.465,0.000,0.000,0.000
cc8_cu0,pack_cu8_nk_results_U0,5953.465,0.000,0.000,0.000
cc8_cu0,pack_cu8_nk_results_U0/grp_pack_cu8_nk_results_Pipeline_VITIS_LOOP_145_2_VITIS_LOOP_149_3_fu_99,5953.465,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0,5953.465,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_113_7_fu_221,5953.465,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_97_6_fu_230,5953.465,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_75_4_fu_243,5953.465,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_84_5_fu_252,5953.465,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_44_2_VITIS_LOOP_48_3_fu_261,5953.465,0.000,0.000,0.000
cc8_cu1,compute_core_8x64_unified_U0,5953.465,0.000,0.000,0.000
cc8_cu1,compute_core_8x64_unified_U0/grp_run_cu8_mm_task_fu_165,5953.465,0.000,0.000,0.000
cc8_cu1,compute_core_8x64_unified_U0/grp_run_cu8_vector_task_fu_196,5953.465,0.000,0.000,0.000
cc8_cu1,pack_cu8_nk_results_U0,5953.465,0.000,0.000,0.000
cc8_cu1,pack_cu8_nk_results_U0/grp_pack_cu8_nk_results_Pipeline_VITIS_LOOP_145_2_VITIS_LOOP_149_3_fu_99,5953.465,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0,5953.465,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_load_cc8_feature_gbuf_cc8_feature_buffer_t_128u_s_fu_1195,5953.465,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_load_cc8_feature_gbuf_cc8_feature_buffer_t_688u_s_fu_1214,5953.465,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_run_cc8_vector_gbuf_task_cc8_feature_buffer_t_128u_cc8_feature_buffer_t_688u_cc8_feature_buffer_t_128u_s_fu_1225,5953.465,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_store_cc8_gbuf_to_hbm_cc8_feature_buffer_t_128u_s_fu_1283,5953.465,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_clear_cc8_gbuf_cc8_feature_buffer_t_688u_s_fu_1301,5953.465,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_load_cc8_resident_query_from_prefill_block_fu_1314,5953.465,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_extract_cc8_current_kv_from_gbuf_cc8_feature_buffer_t_688u_s_fu_1367,5953.465,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_apply_cc8_rope_from_aux_fu_1388,5953.465,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_run_cc8_resident_decode_attention_cc8_feature_buffer_t_688u_s_fu_1433,5953.465,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_clear_cc8_gbuf_cc8_feature_buffer_t_128u_s_fu_1537,5953.465,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_run_cc8_projection_waves_banked_fu_1550,5953.465,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_run_cc8_vector_gbuf_task_inplace_binary_cc8_feature_buffer_t_688u_cc8_feature_buffer_t_688u_s_fu_1671,5953.465,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_run_cc8_vector_gbuf_task_inplace_binary_cc8_feature_buffer_t_128u_cc8_feature_buffer_t_128u_s_fu_1708,5953.465,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_extract_cc8_resident_k_from_gbuf_cc8_feature_buffer_t_688u_s_fu_1745,5953.465,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_extract_cc8_prefill_query_groups_from_gbuf_cc8_feature_buffer_t_688u_s_fu_1763,5953.465,0.000,0.000,0.000
cc8_ctrl,pack_cc8_nk_core_inputs_U0,5953.465,0.000,0.000,0.000
cc8_ctrl,pack_cc8_nk_core_inputs_U0/grp_pack_cc8_nk_core_inputs_Pipeline_VITIS_LOOP_143_7_fu_224,5953.465,0.000,0.000,0.000
cc8_ctrl,pack_cc8_nk_core_inputs_U0/grp_pack_cc8_nk_core_inputs_Pipeline_VITIS_LOOP_127_6_fu_233,5953.465,0.000,0.000,0.000
