field	value
profile	qwen2.5-3b
prompt_tokens	8
generated_tokens	2
layers	2
block_size	8
verify_e2e_golden	1
validation_schedule	post_inference
measurement_boundary	inference_ends_before_cpu_oracle
trace_scope	common_four_CU_running_time
per_cu_occupancy_resolved	0
inter_task_issue_gaps_resolved	0
physical_board_measurement	0
host_inference_compute_scope	embedding_plus_lm_head_argmax
accelerator_compute_scope	decoder_layers_final_norm_rope_online_attention_kv
cpu_golden_scope	post_inference_validation_only
target_mhz	200
xsim_mhz	200
release_nonfinal_blocks	1
hls_resource_report_included	1
hls_resource_scope	controller_plus_2compute_plus_status
source_snapshot_included	1
source_snapshot_scope	archive_time_release_candidate_worktree
binary_identity_scope	launch_recorded_and_archive_recomputed_sha256
build_source_equivalence_included	1
build_source_equivalence_scope	exact_build_inputs_and_build_harness_vs_release_worktree
build_log_included	1
build_log_scope	complete_HLS_XO_link_Host_stdout_stderr
build_log_sha256	7ce920aa0505376298c2d7a48f711a1e09f8728757eed691f37010a594aa066f
host_exe_sha256	99712b58f89958df18e8a0eb560236c771af501b19cec279f44035c6e622e0e3
xclbin_sha256	adf21bc4cc20d5bec514e69bfbdb28e12e9572a33f1071c090f5003e4d904076
emconfig_sha256	696c863021ad86e4740c840916408d9fdae97a9bbaadaefe1e43a1f0f79116ac
source_host_log	/home/wt/git/LLM-FPGA/logs/qwen3b_e2e_hwemu_p8_g2_l2_20260820_203111.log
source_profile_csv	/tmp/llm_accel_qwen3b_q214_resident_fix/build.hw_emu.xilinx_u50_gen3x16_xdma_5_202210_1/.run/2747650/hw_em/device0/binary_0/behav_waveform/xsim/profile_kernels.csv
